name,street,number,latitude,longitude
President WTC, boulevard Albert II, 44, 50.8648463, 4.3588948
Ebrius, place Rouppe, 6, 50.8432634, 4.3458748
Auberge de Jeunesse Galia, place du Jeu de Balle, 15, 50.8375411, 4.3465422
Grand-Place Hotspot, Grand-Place, 1, 50.8471615, 4.3519974
Recyclart, rue des Ursulines, 5, 50.84097, 4.3465272
Restaurant Le Grain de Sable, place du Grand Sablon 15-16, 50.8411462, 4.3553395
Bibliothèque de Laeken, boulevard Emile Bockstael 246, 50.8763406, 4.3479553
Urbizone Ministerial Cabinet, Boulevard du Régent 21, 50.8432734, 4.3666603
Urbizone Francisco Ferrer High School, Anneessens, Place Anneessens 11, 50.8441314, 4.3437385
EXKi De Brouckère, place de Brouckère, 14, 50.8514042, 4.3521334
The Foodmaker, place Marché aux Herbes, 99, 50.8464656, 4.3542482
Novotel Brussels, place Marché aux Herbes, 120, 50.8464225, 4.3549283
Hôtel Aristote Talette 88, avenue de Stalingrad, 3-5, 50.8426259, 4.3451349
Aerowisp, rue Marché au Charbon, 3, 50.8467011, 4.3508226
EXKi, rue Neuve, 78, 50.8530823, 4.3558908
Toerisme Vlaanderen, place Vieux Marché aux Herbes, 61, 50.8471344, 4.3531525
Hôtel Chambord, rue de Namur, 82, 50.8391787, 4.3615565
Radisson SAS Hôtel Brussels, rue Fossé aux Loups, 47, 50.8494728, 4.3564123
Ibis Brussels Centre, rue Joseph Plateau, 2, 50.8504789, 4.349497
Hôtel Métropole, place de Brouckère, 31, 50.8515015, 4.3535123
Java Coffee, rue Neuve, 123, 50.8544291, 4.3579086
Melia Avenue Louise, rue Blanche, 4, 50.8304139, 4.3592352
Thon Résidence Florence, rue de Florence, 1-11, 50.8299149, 4.360424
Wellington, chaussée de Vleurgat, 154, 50.822735, 4.3671784
Lunch Garden, rue Neuve, 111, 50.852874, 4.3563788
Atlas, place Vieux Marché aux Grains, 30, 50.8496203, 4.3460668
Quick, boulevard du Centenaire, 42, 50.8939419, 4.3421618
Quick, rue Neuve, 21, 50.8513308, 4.3547067
Auberge de Jeunesse Saint-Nicolas, Marché aux Poulets, 32, 50.848847, 4.3510221
USE-IT, quai à la Houille, 9B, 50.8542557, 4.3471788
